StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Text / Graphic,q1.1,q1.2,q1.3,q1.3_3_TEXT,q1.4,q1.4_8_TEXT,q1.5,q1.6,q1.7,q1.7_9_TEXT,q1.8,q1.8_12_TEXT,q1.9,q1.10,q1.10_17_TEXT,q2.1,q2.1_6_TEXT,q2.1_8_TEXT,q2.1_10_TEXT,q2.2,q2.3,q2.4,q2.4_6_TEXT,q2.5_1,q2.5_2,q2.5_3,q2.5_4,q3.1,q3.1_1_TEXT,q3.2.1_1,q3.2.1_2,q3.2.1_3,q3.2.1_4,q3.2.2_1,q3.2.2_2,q4.1,q4.2,q4.2_9_TEXT,q4.3,q4.4,q4.5,q4.6.1_1,q4.6.1_2,q4.6.1_3,q4.6.1_4,q4.6.1_5,q4.6.1_6,q4.6.1_7,q4.6.2_1,q4.6.2_2,q4.6.2_3,q4.6.2_4,q4.6.2_5,q4.6.2_6,q4.7,q5.1_1,q5.1_2,q5.1_3,q5.1_4,q5.2,q5.2_11_TEXT,q5.3,q5.3_7_TEXT
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,Text / Graphic introduction,"Section 1: You and your farm


Region",How old are you?,Gender - Selected Choice,Gender - Other: - Text,What is your highest level of educational attainment? - Selected Choice,What is your highest level of educational attainment? - Other: - Text,What is your yearly household income after tax?,What is the size of your farm in hectares?,"Regarding your farm, which best describes your situation: - Selected Choice","Regarding your farm, which best describes your situation: - Other: - Text",What are the main activities in your farm? Select all that apply. - Selected Choice,What are the main activities in your farm? Select all that apply. - Other: - Text,What percentage of your household income comes from activities other than farming (excluding subsidies)?,"In the last five years, have you received funding from any of the following Environmental Land Management Schemes (ELMS) or private sector? Select all that apply: - Selected Choice","In the last five years, have you received funding from any of the following Environmental Land Management Schemes (ELMS) or private sector? Select all that apply: - Other: - Text","Section 2: Your Experience with Weather Changes


In the past 5 years, has your farm experienced any of the following events? Select all that apply. - Selected Choice","Section 2: Your Experience with Weather Changes


In the past 5 years, has your farm experienced any of the following events? Select all that apply. - Disease: - Text","Section 2: Your Experience with Weather Changes


In the past 5 years, has your farm experienced any of the following events? Select all that apply. - Pests: - Text","Section 2: Your Experience with Weather Changes


In the past 5 years, has your farm experienced any of the following events? Select all that apply. - Other: - Text","On average, how often has your farm experienced these events in the last five years?",How severely would you say these events affected your farm’s productivity?,"Do you think these events (i.e. flood, drought, wildfire, etc) can be attributed to climate change? - Selected Choice","Do you think these events (i.e. flood, drought, wildfire, etc) can be attributed to climate change? - [Optional] Why or why not? - Text",Do you agree with the following statements? - Climate change poses risks to my farm’s yield in the present moment,Do you agree with the following statements? - Climate change poses risks to my farming business in the present moment,Do you agree with the following statements? - Climate change will pose risks to my farm’s yield in the future,Do you agree with the following statements? - Climate change will pose risks to my farming business in the future,"Section 3: Community partnerships
Does your farm belong to a community partnership (e.g. farmer cluster, catchment partnership, etc)? - Selected Choice","Section 3: Community partnerships
Does your farm belong to a community partnership (e.g. farmer cluster, catchment partnership, etc)? - Yes (If you wish, specify which kind of community partnership) - Text",Do you agree with the following statements? - Collaborating with other farmers and working at the landscape scale is important,Do you agree with the following statements? - Collaborating in projects with other farmers increases my farm’s productivity,Do you agree with the following statements? - My community partnership carries out nature positive activities,Do you agree with the following statements? - My community partnership carries out activities that increase my farm’s productivity,Do you agree with the following statements? - Collaborating with other farmers and working at the landscape scale is important,Do you agree with the following statements? - Collaborating in projects with other farmers increases my farm’s productivity,"Section 4: Your Perspectives on Nature-based Solutions


Nature-based Solutions in agriculture are defined by the Food and Agriculture Organization (FAO) as “natural processes relying on ecosystem functioning to ensure food and livelihood security, healthier diets and more inclusive rural economies”. They might involve protecting, sustainably managing or restoring ecosystems, amongst other practices. The following questions will aim to understand your perspectives on Nature-based Solutions.




Do you participate in the implementation of any Nature-based Solutions projects?",What projects do you implement? Select all that apply. - Selected Choice,What projects do you implement? Select all that apply. - Other: - Text,"In the next five years, on how much of your land would you consider adopting Nature-based Solutions that support existing production (e.g. hedgerows,  wildfire strips or mob grazing)?","In the next five years, on how much of your land would you consider adopting Nature-based Solutions that require changes to your production (e.g. agroforestry, or peatland restoration)?",Do any of your neighbours implement Nature-based Solutions?,Do you agree with the following statements? - Nature-based Solutions have higher costs than benefits,"Do you agree with the following statements? - Nature-based Solutions can help protect my farm against extreme weather events (e.g. flooding, drought, wildfire, etc)",Do you agree with the following statements? - Nature-based solutions can improve crop yield and farm productivity,Do you agree with the following statements? - The effects of Nature-based Solutions can be seen in the short term,Do you agree with the following statements? - Implementing Nature-based Solutions requires sacrificing some of my productive land,Do you agree with the following statements? - Nature-based Solutions have diversified my farm business,Do you agree with the following statements? - Nature-based Solutions are most effective when implemented in collaboration with other farmers at the landscape level,Do you agree with the following statements? - Nature-based Solutions have higher costs than benefits,"Do you agree with the following statements? - Nature-based Solutions can help protect my farm against extreme weather events (e.g. flooding, drought, wildfire, etc)",Do you agree with the following statements? - Nature-based solutions can improve crop yield and farm productivity,Do you agree with the following statements? - The effects of Nature-based Solutions can be seen in the short term,Do you agree with the following statements? - Implementing Nature-based Solutions requires sacrificing some of my productive land,Do you agree with the following statements? - Nature-based Solutions are most effective when implemented in collaboration with other farmers at the landscape level,"What do you consider are the benefits of Nature-based Solutions? (e.g. improved soil quality, improved water quality, premium price, sustainable future, etc.)",Do you agree with the following statements? - The UK government is promoting Nature-based Solutions,Do you agree with the following statements? - I have confidence in the UK government’s ability to support Nature-based Solutions in an effective way over the next 4 years,Do you agree with the following statements? - Environmental Land Management Schemes (ELMS) are successful in promoting Nature-based Solutions at the landscape level,Do you agree with the following statements? - Nature-based Solutions' uptake is adequately funded by the government,What do you think are barriers to implementing Nature-based Solutions? Select all that apply - Selected Choice,What do you think are barriers to implementing Nature-based Solutions? Select all that apply - Other: - Text,What do you think are additional barriers for implementing Nature-based Solutions at the landscape level? Select all that apply - Selected Choice,What do you think are additional barriers for implementing Nature-based Solutions at the landscape level? Select all that apply - Other: - Text
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID1""}","{""ImportId"":""QID21""}","{""ImportId"":""QID30""}","{""ImportId"":""QID29""}","{""ImportId"":""QID29_3_TEXT""}","{""ImportId"":""QID31""}","{""ImportId"":""QID31_8_TEXT""}","{""ImportId"":""QID32""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID23_9_TEXT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID24_12_TEXT""}","{""ImportId"":""QID87""}","{""ImportId"":""QID25""}","{""ImportId"":""QID25_17_TEXT""}","{""ImportId"":""QID35""}","{""ImportId"":""QID35_6_TEXT""}","{""ImportId"":""QID35_8_TEXT""}","{""ImportId"":""QID35_10_TEXT""}","{""ImportId"":""QID69""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID38_6_TEXT""}","{""ImportId"":""QID41_1""}","{""ImportId"":""QID41_2""}","{""ImportId"":""QID41_3""}","{""ImportId"":""QID41_4""}","{""ImportId"":""QID43""}","{""ImportId"":""QID43_1_TEXT""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID45_2""}","{""ImportId"":""QID45_3""}","{""ImportId"":""QID45_4""}","{""ImportId"":""QID65_1""}","{""ImportId"":""QID65_2""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID50_9_TEXT""}","{""ImportId"":""QID74""}","{""ImportId"":""QID75""}","{""ImportId"":""QID51""}","{""ImportId"":""QID54_1""}","{""ImportId"":""QID54_2""}","{""ImportId"":""QID54_3""}","{""ImportId"":""QID54_4""}","{""ImportId"":""QID54_5""}","{""ImportId"":""QID54_6""}","{""ImportId"":""QID54_7""}","{""ImportId"":""QID66_1""}","{""ImportId"":""QID66_2""}","{""ImportId"":""QID66_3""}","{""ImportId"":""QID66_4""}","{""ImportId"":""QID66_5""}","{""ImportId"":""QID66_7""}","{""ImportId"":""QID56_TEXT""}","{""ImportId"":""QID57_4""}","{""ImportId"":""QID57_5""}","{""ImportId"":""QID57_6""}","{""ImportId"":""QID57_7""}","{""ImportId"":""QID58""}","{""ImportId"":""QID58_11_TEXT""}","{""ImportId"":""QID59""}","{""ImportId"":""QID59_7_TEXT""}"
03/06/2025 02:05,03/06/2025 02:21,IP Address,100,975,TRUE,03/06/2025 02:21,R_8rkdtNtTzTHfMRy,anonymous,EN,1,I have read and understood the information provided and I agree to take part in this research project,Northern Ireland,25 to 34,Man,,"Higher education – undergraduate level (e.g. BA, BSc) ",,"£20,000 to £50,000",5 to 20 ha.,Farming landowner ,,Lowland grazing livestock,,> 60%,Other:,none,Disease:,TB,,,Once in the last five years,Somewhat affected,Not at all caused by climate change,,To some extent,No,To some extent,To some extent,No,,,,,,1 - Disagree,1 - Disagree,No,,,Less than 1%,Less than 1%,I don't know,,,,,,,,3- Agree,1- Disagree,1- Disagree,1- Disagree,3- Agree,1- Disagree,no significant benefits ,3 - Agree,1- Disagree,1- Disagree,1- Disagree,Other:,on farm i see no benefit in implementing nature based systems or solutions ,No barriers at the landscape level,
03/06/2025 02:18,03/06/2025 02:31,IP Address,100,779,TRUE,03/06/2025 02:31,R_2BSfFfNlBHoEmsc,anonymous,EN,1,I have read and understood the information provided and I agree to take part in this research project,Yorkshire and Humber,35 to 44,Man,,"Higher education – undergraduate level (e.g. BA, BSc) ",,"£50,000 to £100,000",>250 ha,Farm worker,,"Cereals,Dairy,Lowland grazing livestock,Mixed",,> 60%,"Country Stewardships (CS) ,Capital Items,England Woodland Creation Offer (EWCO)",,"Flood ,Drought ,Disease:,Pests:",ash dieback in woodlands,Cabbage stem flea beetle on oil seed rape (now stopped growing it),,Once a year,Somewhat affected,Mainly caused by climate change,,Very much,Very much,Very much,Very much,"Yes (If you wish, specify which kind of community partnership)","Dearne Valley Farmers cluster group (funding now ended so no longer formally exists, we couldn't find funding to continue)",3 - Agree,2 - Neither agree nor disagree,3 - Agree,2 - Neither agree nor disagree,,,"Yes – Individually, on my farm","Wetland restoration,Grassland restoration,Hedgerows,Wildflower strips,Habitat creation",,1-5%,Less than 1%,Yes,2- Neither agree nor disagree,3- Agree,3- Agree,2- Neither agree nor disagree,3- Agree,1- Disagree,3- Agree,,,,,,,"We're big on hedgerow management (including planting new hedgerows) and planting woodland shelter belts.  This is largely motivated by our desire to increase sequestration to balance our operational farm emissions, and to provide shade and shelter in the future for our cows to mitigate milk yield loss in extreme weather.",1- Disagree,1- Disagree,1- Disagree,1- Disagree,"Limited time,Land use conflicts with food production,Policy uncertainty,Other:","The current government are clear a set of urban people with no knowledge of the natural world, and no interest in learning about it.  They are systematically dismantling nature protections, and their nature recovery and net zero strategy lies in tatters if they fully remove environmental incentives to farmers, who manage over 70% of the UK landscape.  We have no SFI to entter into, capital grants have been suspended, BNG is being watered down, all at a time when the prices paid to farmers by supermarkets and big food make it very difficult to make a living.  I used to be optimistic about the future of nature friendly farming, but the farmers I speak to now are pulling out environmental areas and intensifying production, as they no longer trust policy and see this as the only way to make a living.  Not many jacuzzis and champagne bars on the farms I visit, so it's sad that the govt seems to see farmers as multimillionaires who need little or no support","Funding for collaborative action,Landscape benefits don’t benefit my farm business,Unequal contribution of resources from landscape-level partners",
03/06/2025 02:30,03/06/2025 02:43,IP Address,100,767,TRUE,03/06/2025 02:43,R_2JzMvljx6G1HsaZ,anonymous,EN,1,I have read and understood the information provided and I agree to take part in this research project,Scotland,55 to 64,Woman,,"Higher education – undergraduate level (e.g. BA, BSc) ",,"£50,000 to £100,000",< 5 ha.,Non-Farming landowner ,,Mixed,,> 60%,Other private company,,Drought ,,,,Once every 2-3 years,Severely affected,Not at all caused by climate change,Climate Change is an excuse . The climate has changed for cents and this entire net zero is purely a way of making ordinary people poorer and alleged scientists ( who are piggy backing on opportunistic situations) richer. Farcical nonsense. ,No,No,No,No,No,,,,,,3 - Agree,2 - Neither agree nor disagree,"Yes – Individually, on my farm","Agroforestry ,Wildflower strips,Habitat creation",,1-5%,Less than 1%,Yes,3- Agree,3- Agree,2- Neither agree nor disagree,2- Neither agree nor disagree,2- Neither agree nor disagree,2- Neither agree nor disagree,2- Neither agree nor disagree,,,,,,,We have been doing this stuff for years until policy makers suddenly dreamt up regulations to stop us doing sedimentation management in rivers and creating schemes to stop us including gorse in our Single Farm Payment plans; penalising us for having non pure fart soft features . Policy makers are generally clueless suits and should leave farmers to farm the country’s properly. Reason there are more wildfires are due to policy makers making livestock production too onerous so grass is no longer green and grazed. Rewilding encourages wildfires  too. When will people wake up and understand? Govts are causing the problems they are now trying ( Failing) to resolve! ,2- Neither agree nor disagree,1- Disagree,1- Disagree,1- Disagree,"Implementation costs,Maintenance costs,Limited time,Data availability - unclear on the benefits,Land use conflicts with food production,Policy uncertainty,Planning constraints",,"Funding for collaborative action,Landscape benefits don’t benefit my farm business,Unequal contribution of resources from landscape-level partners",
03/06/2025 02:47,03/06/2025 02:54,IP Address,100,385,TRUE,03/06/2025 02:54,R_2TIRz3B2vim7qLv,anonymous,EN,1,I have read and understood the information provided and I agree to take part in this research project,Scotland,35 to 44,Woman,,"Higher education – postgraduate level (e.g. MA, MSc, PhD) ",,"£50,000 to £100,000",>250 ha,Other:,"Farm partnership, land owned by other partner, we deliver the farming activity. ",LFA grazing livestock,,40% to 50%,Other:,no because there are all England only - shame you didn't account for the fact Scotland and Wales have DEVOLVED agriculture policy. ,Flood ,,,,Once a year,Somewhat affected,Partly caused by climate change,"Frequency and intensity has increased, linked to a changing climate",No,To some extent,To some extent,No,"Yes (If you wish, specify which kind of community partnership)",,3 - Agree,1 - Disagree,3 - Agree,1 - Disagree,,,"Yes – Individually, on my farm,Yes – In collaboration, at the landscape level","River restoration,Forest creation,Wetland restoration,Peatland restoration,Mob grazing,Agroforestry ,Hedgerows,Wildflower strips,Habitat creation",,Greater than 25%,Greater than 25%,No,1- Disagree,3- Agree,3- Agree,3- Agree,1- Disagree,2- Neither agree nor disagree,2- Neither agree nor disagree,,,,,,,"Improved soil health, resilience to changing weather, increased adaptive capacity. Water holding potential. ",2- Neither agree nor disagree,1- Disagree,2- Neither agree nor disagree,1- Disagree,"Access to knowledge on implementation,Other:",Why are you asking for input from devolved nations and then only asking about UK Gov?! ,Unequal contribution of resources from landscape-level partners,
03/06/2025 02:55,03/06/2025 03:03,IP Address,100,471,TRUE,03/06/2025 03:03,R_2ePEy2cNSNRFcbi,anonymous,EN,0.8999999761581421,I have read and understood the information provided and I agree to take part in this research project,Scotland,55 to 64,Man,,GCSE or A-levels,,"£20,000 to £50,000",100-250 ha.,Farming landowner ,,"Cereals,LFA grazing livestock",,< 10%,Other:,N0,None,,,,,,Not at all caused by climate change,,No,No,No,No,No,,,,,,1 - Disagree,1 - Disagree,No,,,Less than 1%,Less than 1%,I don't know,,,,,,,,3- Agree,1- Disagree,1- Disagree,1- Disagree,3- Agree,1- Disagree,None,3 - Agree,1- Disagree,1- Disagree,1- Disagree,Policy uncertainty,,Funding for collaborative action,
03/06/2025 03:24,03/06/2025 03:48,IP Address,100,1454,TRUE,03/06/2025 03:48,R_88Mz9E4jdOeqWzR,anonymous,EN,1,I have read and understood the information provided and I agree to take part in this research project,East Anglia,55 to 64,Man,,"Higher education – postgraduate level (e.g. MA, MSc, PhD) ",,"£50,000 to £100,000",50 to 100 ha.,Farming landowner ,,"Cereals,Cropping: Horticulture,Lowland grazing livestock,Other:",,50% to 60%,"Sustainable Farming Incentives (SFI),Capital Items,Farming in Protected Landscapes programme (FiPL),Other:",,"Drought ,Other:",,,Crop stress,Once a year,Somewhat affected,Mainly caused by climate change,,Very much,Very much,Very much,Very much,"Yes (If you wish, specify which kind of community partnership)",Farmer Cluster,3 - Agree,2 - Neither agree nor disagree,2 - Neither agree nor disagree,1 - Disagree,,,No,,,5-10%,1-5%,No,,,,,,,,2- Neither agree nor disagree,2- Neither agree nor disagree,2- Neither agree nor disagree,2- Neither agree nor disagree,2- Neither agree nor disagree,2- Neither agree nor disagree,I don't know,2- Neither agree nor disagree,1- Disagree,2- Neither agree nor disagree,1- Disagree,"Access to knowledge on implementation,Implementation costs,Policy uncertainty,Tenancy constraints",,Other:,Constant changes in government policy and support
03/06/2025 03:53,03/06/2025 04:01,IP Address,100,511,TRUE,03/06/2025 04:01,R_8pRWkYZGG2O0Twq,anonymous,EN,0.8999999761581421,I have read and understood the information provided and I agree to take part in this research project,Scotland,65 to 74,Man,,Other:,Left school at 15 built business with 50 million turnover ,"> £200,000",>250 ha,Farming landowner ,,"Cereals,Lowland grazing livestock,Specialist poultry",,< 10%,Country Stewardships (CS) ,,None,,,,,,Partly caused by climate change,,No,No,To some extent,To some extent,No,,,,,,3 - Agree,2 - Neither agree nor disagree,"Yes – Individually, on my farm","Forest creation,Agroforestry ,Wildflower strips,Habitat creation",,Less than 1%,Less than 1%,I don't know,3- Agree,3- Agree,1- Disagree,1- Disagree,3- Agree,1- Disagree,2- Neither agree nor disagree,,,,,,,Good to see more wildlife on the farm ,2- Neither agree nor disagree,1- Disagree,2- Neither agree nor disagree,1- Disagree,"Implementation costs,Maintenance costs,Land use conflicts with food production,Policy uncertainty",,"Funding for collaborative action,Landscape benefits don’t benefit my farm business",
03/06/2025 04:05,03/06/2025 04:28,IP Address,100,1407,TRUE,03/06/2025 04:28,R_2LdtQFOuJSMPu4y,anonymous,EN,1,I have read and understood the information provided and I agree to take part in this research project,Scotland,65 to 74,Man,,"Further education – college course, diploma, trade training, etc.",,"< £10,000",100-250 ha.,"Farming landowner ,Farm business tenancy (FBT)",,"Cereals,LFA grazing livestock,Mixed",,20% to 30%,Adding Value grants,,Drought ,,,,Once in the last five years,Somewhat affected,Partly caused by climate change,,No,No,To some extent,To some extent,No,,,,,,2 - Neither agree nor disagree,2 - Neither agree nor disagree,No,,,Less than 1%,Less than 1%,I don't know,,,,,,,,2- Neither agree nor disagree,2- Neither agree nor disagree,2- Neither agree nor disagree,2- Neither agree nor disagree,3- Agree,2- Neither agree nor disagree,Shelter for animals and biodiversity.,3 - Agree,1- Disagree,3 - Agree,1- Disagree,"Implementation costs,Maintenance costs,Planning constraints,Tenancy constraints",,Landscape benefits don’t benefit my farm business,
