Outcome,Variable,Coef,SE,Stars,Lower,Upper,Figure,Dimensions,Clusters,Agreement,Separation,MinShare
Overall NbS,Climate attribution: Partly,0.416,0.105,3.0,0.2102,0.6217999999999999,Dual-driver main-text robustness,,,,,
Individual NbS,Climate attribution: Partly,0.414,0.116,3.0,0.18663999999999997,0.6413599999999999,Dual-driver main-text robustness,,,,,
Collaborative NbS,Climate attribution: Partly,0.094,0.163,0.0,-0.22547999999999999,0.41347999999999996,Dual-driver main-text robustness,,,,,
Overall NbS,Climate attribution: Mainly,0.344,0.117,3.0,0.11467999999999998,0.5733199999999999,Dual-driver main-text robustness,,,,,
Individual NbS,Climate attribution: Mainly,0.347,0.127,3.0,0.09807999999999997,0.59592,Dual-driver main-text robustness,,,,,
Collaborative NbS,Climate attribution: Mainly,0.08,0.164,0.0,-0.24144,0.40144,Dual-driver main-text robustness,,,,,
Overall NbS,Exposure: Occasional,0.077,0.087,0.0,-0.09351999999999998,0.24751999999999996,Dual-driver main-text robustness,,,,,
Individual NbS,Exposure: Occasional,0.107,0.095,0.0,-0.0792,0.2932,Dual-driver main-text robustness,,,,,
Collaborative NbS,Exposure: Occasional,0.347,0.16,2.0,0.033399999999999985,0.6606,Dual-driver main-text robustness,,,,,
Overall NbS,Exposure: Frequent,0.258,0.076,3.0,0.10904000000000003,0.40696,Dual-driver main-text robustness,,,,,
Individual NbS,Exposure: Frequent,0.223,0.082,3.0,0.06228,0.38372,Dual-driver main-text robustness,,,,,
Collaborative NbS,Exposure: Frequent,0.392,0.152,2.0,0.09408000000000005,0.68992,Dual-driver main-text robustness,,,,,
Overall NbS,Income: Medium,0.127,0.08,0.0,-0.029799999999999993,0.2838,Dual-driver main-text robustness,,,,,
Individual NbS,Income: Medium,0.145,0.084,1.0,-0.01964000000000002,0.30964,Dual-driver main-text robustness,,,,,
Collaborative NbS,Income: Medium,0.012,0.082,0.0,-0.14872,0.17272,Dual-driver main-text robustness,,,,,
Overall NbS,Income: High,0.143,0.142,0.0,-0.13531999999999997,0.4213199999999999,Dual-driver main-text robustness,,,,,
Individual NbS,Income: High,0.096,0.14,0.0,-0.17840000000000003,0.37040000000000006,Dual-driver main-text robustness,,,,,
Collaborative NbS,Income: High,0.141,0.109,0.0,-0.07264000000000001,0.35463999999999996,Dual-driver main-text robustness,,,,,
Overall NbS,Public funding,-0.053,0.081,0.0,-0.21176,0.10576000000000002,Dual-driver main-text robustness,,,,,
Individual NbS,Public funding,-0.051,0.086,0.0,-0.21955999999999998,0.11756,Dual-driver main-text robustness,,,,,
Collaborative NbS,Public funding,0.037,0.082,0.0,-0.12372,0.19772,Dual-driver main-text robustness,,,,,
Overall NbS,Private funding,0.289,0.138,2.0,0.01851999999999998,0.55948,Dual-driver main-text robustness,,,,,
Individual NbS,Private funding,0.22,0.127,1.0,-0.02892,0.46892,Dual-driver main-text robustness,,,,,
Collaborative NbS,Private funding,0.07,0.089,0.0,-0.10443999999999998,0.24444,Dual-driver main-text robustness,,,,,
