Analysis,Metric,Value,Lower,Upper,N,Dimensions,Clusters,Adjusted Rand index,Silhouette,Smallest cluster share,Outcome,Specification,Driver,AME,SE
Bootstrap ARI,Median,0.40604360617379764,,,,,,,,,,,,,
Bootstrap ARI,Mean,0.41417801350159933,,,,,,,,,,,,,
Bootstrap ARI,2.5%,0.1949682410109114,,,,,,,,,,,,,
Bootstrap ARI,97.5%,0.6979389992480485,,,,,,,,,,,,,
Cluster recovery,0,0.7497505668934241,0.5079365079365079,0.9607142857142853,63.0,,,,,,,,,,
Cluster recovery,1,0.6321142857142857,0.36,0.94,50.0,,,,,,,,,,
Cluster recovery,2,0.8381746031746031,0.0,1.0,18.0,,,,,,,,,,
Dimension/k sensitivity,,,,,,2.0,2.0,0.2685468002210721,0.33741542645232697,0.4122137404580153,,,,,
Dimension/k sensitivity,,,,,,2.0,3.0,0.35387883263981745,0.37881245973383604,0.183206106870229,,,,,
Dimension/k sensitivity,,,,,,2.0,4.0,0.24994209287487085,0.41958516620848874,0.183206106870229,,,,,
Dimension/k sensitivity,,,,,,2.0,5.0,0.21758378434840966,0.4060862812369737,0.15267175572519084,,,,,
Dimension/k sensitivity,,,,,,3.0,2.0,0.1501996007984032,0.25197736980742785,0.26717557251908397,,,,,
Dimension/k sensitivity,,,,,,3.0,3.0,0.382248239537986,0.2810874112969018,0.16030534351145037,,,,,
Dimension/k sensitivity,,,,,,3.0,4.0,0.3196515261470348,0.317578744646817,0.16030534351145037,,,,,
Dimension/k sensitivity,,,,,,3.0,5.0,0.3313126434417371,0.31046464603388074,0.13740458015267176,,,,,
Dimension/k sensitivity,,,,,,4.0,2.0,0.2964805019027614,0.27379125955139016,0.2900763358778626,,,,,
Dimension/k sensitivity,,,,,,4.0,3.0,0.31657211615493386,0.22539593861338056,0.2900763358778626,,,,,
Dimension/k sensitivity,,,,,,4.0,4.0,0.19283686622330262,0.23026266838000556,0.17557251908396945,,,,,
Dimension/k sensitivity,,,,,,4.0,5.0,0.2718255149668838,0.2660438161226159,0.1297709923664122,,,,,
Dimension/k sensitivity,,,,,,5.0,2.0,0.2055922457156403,0.23493551392851447,0.32061068702290074,,,,,
Dimension/k sensitivity,,,,,,5.0,3.0,0.2569313461637259,0.19469943824066324,0.26717557251908397,,,,,
Dimension/k sensitivity,,,,,,5.0,4.0,0.15755306838208222,0.20423302993039333,0.1984732824427481,,,,,
Dimension/k sensitivity,,,,,,5.0,5.0,0.2385592137213487,0.23290387645065744,0.11450381679389313,,,,,
Dimension/k sensitivity,,,,,,6.0,2.0,0.2055922457156403,0.2078897479990589,0.32061068702290074,,,,,
Dimension/k sensitivity,,,,,,6.0,3.0,0.17911945356964193,0.19449735460252174,0.32061068702290074,,,,,
Dimension/k sensitivity,,,,,,6.0,4.0,0.2576990173845519,0.21470561969390276,0.11450381679389313,,,,,
Dimension/k sensitivity,,,,,,6.0,5.0,0.19857632955844817,0.1909620812925126,0.11450381679389313,,,,,
Logit robustness,,,0.19455883631539223,0.6783595707840452,143.0,,,,,,Overall NbS,Core,Climate attribution,0.4439006689667615,0.13227710875636742
Logit robustness,,,0.06221287657104553,0.3243989552094962,143.0,,,,,,Overall NbS,Core,Frequent exposure,0.1994053249295865,0.06892673811814963
Logit robustness,,,0.20917775005276285,0.6944324406651288,143.0,,,,,,Overall NbS,Demographic,Climate attribution,0.47346542213254145,0.12889509230823037
Logit robustness,,,0.07948488440701995,0.3601927200406703,143.0,,,,,,Overall NbS,Demographic,Frequent exposure,0.21681484285864738,0.07139602393902889
Logit robustness,,,0.24844527688425727,0.7039843430166915,143.0,,,,,,Overall NbS,Full,Climate attribution,0.49358051964909055,0.11943378590998066
Logit robustness,,,0.06197961120435352,0.3689257649480516,143.0,,,,,,Overall NbS,Full,Frequent exposure,0.21630062370457026,0.07643339926872393
Logit robustness,,,0.018746426145416332,0.3636350021095509,143.0,,,,,,Overall NbS,Full,Private funding,0.20259305821920115,0.08558425734605278
Logit robustness,,,0.17445201438391758,0.6874092298520754,143.0,,,,,,Individual NbS,Core,Climate attribution,0.43239788729092266,0.13095448842700358
Logit robustness,,,0.002078627200232325,0.28693799357649236,143.0,,,,,,Individual NbS,Core,Frequent exposure,0.1414541327175659,0.0716793098976418
Logit robustness,,,0.19941771710506434,0.7067970117879909,143.0,,,,,,Individual NbS,Demographic,Climate attribution,0.45095595844188985,0.12622360095047105
Logit robustness,,,0.012306032811420646,0.307746427085471,143.0,,,,,,Individual NbS,Demographic,Frequent exposure,0.16213542780057844,0.07750229296544808
Logit robustness,,,0.20989305144611747,0.6682457980336698,143.0,,,,,,Individual NbS,Full,Climate attribution,0.46524932388254003,0.12069531855756731
Logit robustness,,,0.008805958575328643,0.3074833259386276,143.0,,,,,,Individual NbS,Full,Frequent exposure,0.16428186875408468,0.07443321731644133
Logit robustness,,,-0.04184897872627246,0.36419662200824077,143.0,,,,,,Individual NbS,Full,Private funding,0.17732132762191866,0.10499133211905594
Logit robustness,,,0.1495588048784439,0.2937405634705646,143.0,,,,,,Collaborative NbS,Core,Climate attribution,0.21357265872013068,0.03699398027700963
Logit robustness,,,0.04835023319359408,0.28268909289905,143.0,,,,,,Collaborative NbS,Core,Frequent exposure,0.16785465002144184,0.06279258932835843
Logit robustness,,,0.14760935165765704,0.28084702182522026,143.0,,,,,,Collaborative NbS,Demographic,Climate attribution,0.21336423383286435,0.03505699406717115
Logit robustness,,,0.0402384186022746,0.29427755796331084,143.0,,,,,,Collaborative NbS,Demographic,Frequent exposure,0.16841959984510715,0.06643876299602353
Logit robustness,,,0.13156562269566047,0.2775098077759441,143.0,,,,,,Collaborative NbS,Full,Climate attribution,0.2079387813907911,0.03653391382003474
Logit robustness,,,0.013697688567265293,0.2743749090333724,143.0,,,,,,Collaborative NbS,Full,Frequent exposure,0.15652704642683268,0.06660750747638576
Logit robustness,,,-0.12008657965443159,0.3135131344486779,143.0,,,,,,Collaborative NbS,Full,Private funding,0.09646793891266642,0.10860109605205147
