Variables,(1) Overall Attribution,(2) Overall Frequency,(3) Overall Full,(4) Individual Attribution,(5) Individual Frequency,(6) Individual Full,(7) Collaborative Attribution,(8) Collaborative Frequency,(9) Collaborative Full
Climate Change Attribution,,,,,,,,,
  Partly,0.440*** (0.111),,0.468*** (0.100),0.440*** (0.120),,0.456*** (0.110),0.422 (0.379),,2.983 (6998.110)
  Mainly,0.426*** (0.119),,0.381*** (0.109),0.425*** (0.127),,0.376*** (0.119),0.433 (0.380),,2.955 (6998.110)
Event Frequency,,,,,,,,,
  Once in 5 years,,-0.120 (0.115),-0.181 (0.112),,-0.130 (0.125),-0.195 (0.123),,-2.838 (6334.848),-1.956 (242.946)
  Every 2-3 years,,0.043 (0.106),0.006 (0.102),,0.060 (0.115),0.021 (0.113),,0.244 (0.149),0.223 (0.146)
  Once a year,,0.139 (0.104),0.098 (0.100),,0.110 (0.111),0.068 (0.109),,0.219 (0.148),0.198 (0.145)
  > Once a year,,0.381*** (0.145),0.387*** (0.146),,0.288** (0.134),0.274** (0.135),,0.375*** (0.143),0.358*** (0.139)
Financial & Governance Controls,,,,,,,,,
  Income: Medium,0.120 (0.083),0.090 (0.086),0.104 (0.079),0.133 (0.086),0.105 (0.090),0.116 (0.084),0.057 (0.090),0.006 (0.082),0.008 (0.081)
  Income: High,0.155 (0.137),0.078 (0.144),0.071 (0.137),0.107 (0.137),0.048 (0.144),0.036 (0.138),0.212* (0.115),0.121 (0.107),0.110 (0.106)
  Public Funding,-0.038 (0.086),0.073 (0.079),-0.036 (0.082),-0.044 (0.089),0.072 (0.083),-0.029 (0.087),0.047 (0.081),0.101 (0.078),0.069 (0.081)
  Private Funding,0.262* (0.140),0.214 (0.140),0.247* (0.131),0.214* (0.130),0.179 (0.133),0.190 (0.125),0.063 (0.093),0.027 (0.088),0.026 (0.090)
Socio-Demographic Controls,,,,,,,,,
  Age,0.004 (0.003),0.004 (0.003),0.006** (0.003),0.006** (0.003),0.005* (0.003),0.008*** (0.003),-0.001 (0.002),0.000 (0.002),0.001 (0.002)
  Gender,-0.039 (0.077),-0.095 (0.079),-0.058 (0.076),-0.109 (0.079),-0.163** (0.081),-0.125 (0.079),-0.042 (0.069),-0.035 (0.065),-0.017 (0.064)
Model Statistics,,,,,,,,,
  Observations,143,143,143,143,143,143,143,143,143
  Pseudo R²,0.133,0.140,0.240,0.122,0.111,0.190,0.072,0.171,0.200
  AIC,166.6,169.3,156.3,174.3,180.4,170.3,149.2,139.2,139.1
  BIC,193.3,201.9,194.8,201.0,212.9,208.8,175.9,171.8,177.6
