Variables,(1) Overall Attribution,(2) Overall Frequency,(3) Overall Full,(4) Individual Attribution,(5) Individual Frequency,(6) Individual Full,(7) Collaborative Attribution,(8) Collaborative Frequency,(9) Collaborative Full
Climate Change Attribution,,,,,,,,,
  Partly,0.425*** (0.111),,0.416*** (0.105),0.428*** (0.119),,0.414*** (0.116),0.422 (0.379),,0.094 (0.163)
  Mainly,0.403*** (0.119),,0.344*** (0.117),0.407*** (0.127),,0.347*** (0.127),0.433 (0.380),,0.080 (0.164)
Event Frequency (Ref: Never/Rare),,,,,,,,,
  Occasional (Every 2-3 years),,0.099 (0.091),0.077 (0.087),,0.120 (0.099),0.107 (0.095),,0.322** (0.152),0.347** (0.160)
  Frequent (>= Once a year),,0.274*** (0.077),0.258*** (0.076),,0.235*** (0.083),0.223*** (0.082),,0.375*** (0.143),0.392** (0.152)
Financial & Governance Controls,,,,,,,,,
  Income: Medium,0.125 (0.082),0.109 (0.086),0.127 (0.080),0.137 (0.086),0.124 (0.089),0.145* (0.084),0.057 (0.090),0.027 (0.084),0.012 (0.082)
  Income: High,0.172 (0.138),0.113 (0.145),0.143 (0.142),0.120 (0.137),0.079 (0.145),0.096 (0.140),0.212* (0.115),0.136 (0.111),0.141 (0.109)
  Public Funding,-0.029 (0.085),0.043 (0.078),-0.053 (0.081),-0.037 (0.089),0.044 (0.082),-0.051 (0.086),0.047 (0.081),0.083 (0.079),0.037 (0.082)
  Private Funding,0.287** (0.144),0.246* (0.141),0.289** (0.138),0.228* (0.131),0.207 (0.133),0.220* (0.127),0.063 (0.093),0.069 (0.087),0.070 (0.089)
Socio-Demographic Controls,,,,,,,,,
  Age,0.004 (0.003),0.004 (0.003),0.006** (0.003),0.006** (0.003),0.005* (0.003),0.007*** (0.003),-0.001 (0.002),-0.000 (0.002),0.000 (0.002)
  Gender,-0.043 (0.077),-0.096 (0.078),-0.056 (0.076),-0.112 (0.079),-0.164** (0.081),-0.125 (0.079),-0.042 (0.069),-0.042 (0.066),-0.029 (0.067)
Model Statistics,,,,,,,,,
  Observations,143,143,143,143,143,143,143,143,143
  Pseudo R²,0.132,0.115,0.196,0.122,0.094,0.16,0.072,0.135,0.144
  AIC,166.7,169.7,159.8,174.4,179.5,171.7,149.2,140.3,143.1
  BIC,193.4,196.3,192.4,201,206.1,204.3,175.9,167,175.7
