Socio-Demographic & Experiential Variables,Total Sample (N=131),NbS Adopters (N=90),Non-Adopters (N=41),Statistical Significance (p-value)
** Attribution of Extreme Events to Climate Change **,,,,
   Mainly attributed,50 (38.2%),46 (51.1%),4 (9.8%),0.000***
   Partly attributed,58 (44.3%),38 (42.2%),20 (48.8%),
   Not at all attributed,23 (17.6%),6 (6.7%),17 (41.5%),
** Frequency of Extreme Weather Events (Past 5 Years) **,,,,
   More than once a year,25 (19.1%),19 (21.1%),6 (14.6%),0.284
   Once a year,32 (24.4%),25 (27.8%),7 (17.1%),
   Once every 2-3 years,33 (25.2%),23 (25.6%),10 (24.4%),
   Once in 5 years,28 (21.4%),16 (17.8%),12 (29.3%),
   Never experienced,13 (9.9%),7 (7.8%),6 (14.6%),
** Perceived Risk to Future Farm Yields **,,,,
   No Risk Perceived,31 (23.7%),21 (23.3%),10 (24.4%),0.785
   Moderate Risk Perceived,63 (48.1%),45 (50.0%),18 (43.9%),
   High Risk Perceived,37 (28.2%),24 (26.7%),13 (31.7%),
** Land Ownership and Tenancy Status **,,,,
   Mixed Tenancy (Owner & Tenant),15 (11.5%),11 (12.2%),4 (9.8%),0.538
   Tenant Farmer,39 (29.8%),29 (32.2%),10 (24.4%),
   Owner Occupied,77 (58.8%),50 (55.6%),27 (65.9%),
** Total Area of Farm Operation **,,,,
   50 to 250 hectares,64 (48.9%),38 (42.2%),26 (63.4%),0.065*
   More than 250 hectares,23 (17.6%),19 (21.1%),4 (9.8%),
   Less than 50 hectares,44 (33.6%),33 (36.7%),11 (26.8%),
** Gender Identity of Respondent **,,,,
   Female,27 (20.6%),15 (16.7%),12 (29.3%),0.155
   Male,104 (79.4%),75 (83.3%),29 (70.7%),
** Age Demographic **,,,,
   55 to 74 years old,50 (38.2%),38 (42.2%),12 (29.3%),0.169
   35 to 54 years old,40 (30.5%),23 (25.6%),17 (41.5%),
   75 years and older,23 (17.6%),18 (20.0%),5 (12.2%),
   Under 35 years old,18 (13.7%),11 (12.2%),7 (17.1%),
** Highest Level of Educational Attainment **,,,,
   Postgraduate Degree,21 (16.0%),17 (18.9%),4 (9.8%),0.372
   Undergraduate Degree,53 (40.5%),34 (37.8%),19 (46.3%),
   GCSE or A-levels equivalent,57 (43.5%),39 (43.3%),18 (43.9%),
** Annual Household Income (After Tax) **,,,,
"   Less than £20,000",29 (22.1%),20 (22.2%),9 (22.0%),0.983
"   £20,000 to £50,000",53 (40.5%),37 (41.1%),16 (39.0%),
"   £50,000 to £100,000",38 (29.0%),26 (28.9%),12 (29.3%),
"   More than £100,000",11 (8.4%),7 (7.8%),4 (9.8%),
