Overall_NbS,Individual_NbS,Collaborative_NbS,CC_Attribution,Future_Yield_Risk,Event_Frequency,Community_Partnership,Peer_NbS,Income,Public_Funding,Private_Funding,Age,Gender_Male
0.0,0.0,0.0,0.0,1.0,1.0,0.0,,3,0.0,0.0,2,1
1.0,1.0,0.0,2.0,2.0,3.0,1.0,1.0,4,1.0,0.0,3,1
1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,4,0.0,1.0,5,0
1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,4,0.0,0.0,3,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3,0.0,0.0,5,1
0.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,4,1.0,0.0,5,1
1.0,1.0,0.0,1.0,1.0,0.0,0.0,,6,1.0,0.0,6,1
0.0,0.0,0.0,1.0,1.0,1.0,0.0,,1,1.0,0.0,6,1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,,3,0.0,0.0,6,1
1.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,4,0.0,0.0,4,0
1.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,6,1.0,0.0,6,1
1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1,0.0,0.0,5,1
1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,4,1.0,0.0,5,0
1.0,1.0,0.0,1.0,0.0,3.0,0.0,,3,0.0,0.0,5,1
0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,3,1.0,0.0,6,1
1.0,1.0,0.0,1.0,1.0,0.0,0.0,,3,0.0,0.0,6,1
0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6,0.0,0.0,6,1
1.0,0.0,1.0,,1.0,2.0,1.0,1.0,3,0.0,0.0,6,1
1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,3,1.0,0.0,5,1
0.0,0.0,0.0,1.0,1.0,1.0,0.0,,3,1.0,0.0,4,1
1.0,0.0,1.0,,1.0,0.0,1.0,1.0,2,0.0,0.0,6,1
1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,3,1.0,0.0,3,1
1.0,1.0,0.0,1.0,1.0,4.0,1.0,,3,1.0,0.0,6,0
